OPCAO,CARGO,AREA,SUBAREA,VAGAS
40001791,Pesquisador,Ciência e Tecnologia de Alimentos,Enologia,1
40001814,Técnico,Gestão de Pessoas,Segurança e Saúde do Trabalho,10
40001834,Pesquisador,Ciências Agrárias,Silvicultura,3
40001860,Pesquisador,Ciências Agrárias,Uso Sustentável de Recursos Naturais,5
40001887,Pesquisador,Ciências Agrárias,Tecnologia e Utilização de Produtos Florestais,1
40001894,Pesquisador,Ciências Agrárias,Apicultura e Meliponicultura,4
40001921,Pesquisador,Ciências Agrárias,Microbiologia e Bioquímica do Solo,4
40001925,Técnico,Laboratório e Campos Experimentais,Manejo Florestal,6
40002003,Pesquisador,Ciências Ambientais,Gestão Ambiental,1
40002022,Pesquisador,Ciências Exatas e da Terra,Ciência de Dados,6
40002027,Analista,Transferência de Tecnologia e Comunicação,Tecnologia de Alimentos,1
40002042,Analista,Ciência e Tecnologia de Alimentos,Análise Sensorial,1
40002098,Pesquisador,Engenharias,Recursos Florestais e Engenharia Florestal,1
40002101,Pesquisador,Ciências Agrárias,Fertilidade e Química do Solo,4
40002139,Analista,Ciências Biológicas,Biologia Avançada e Bioinformática,7
40002144,Analista,Transferência de Tecnologia e Comunicação,Gestão de Projetos,3
40002166,Analista,Ciências Biológicas,Biologia Avançada e Tecnologia da Informação,1
40002180,Analista,Engenharias,Automação e Mecanização,3
40002198,Analista,Ciências Exatas e da Terra,Ciência de Dados,12
40002220,Analista,Gestão da Informação,Engenharia de Dados,3
40002223,Analista,Orçamento e Finanças,Contabilidade,13
40002260,Analista,Gestão da Informação,Gestão da Informação Arquivística,1
40002271,Analista,"Suprimento, Manutenção e Serviços","Administrativo, Suprimento, Manutenção e Serviços",55
40002278,Analista,Gestão da Informação,Engenharia de Infraestrutura e Tecnologia da Informação,16
40002284,Analista,Gestão de Pessoas,Folha de Pagamento,2
40002289,Analista,Gestão de Pessoas,Segurança e Saúde do Trabalho,3
40002311,Analista,Direito e Auditoria,Assessoria Jurídica Advogado,1
40002319,Analista,Gestão de Pessoas,Desenvolvimento Humano,6
40002345,Analista,Ciências Exatas e da Terra,Sistemas de Informação,3
40002348,Técnico,Transferência de Tecnologia e Comunicação,Técnico Audiovisual,1
40002367,Analista,Gestão Estratégica,Inteligência e Planejamento Estratégico,1
40002408,Pesquisador,Ciências Agrárias,Armazenamento de Grãos e Sementes,1
40002449,Técnico,Orçamento e Finanças,Contabilidade,1
40002490,Analista,Gestão Estratégica,Articulação Político-Institucional Internacional,1
40002494,Pesquisador,Ciências Sociais Aplicadas,Ciências Sociais Aplicadas à Agropecuária,7
40002503,Pesquisador,Ciências Agrárias,Sanidade e Defesa Animal,5
40002541,Pesquisador,Ciências Agrárias,Ciência do Solo,17
40002553,Analista,Transferência de Tecnologia e Comunicação,Transferência de Tecnologia,10
40002684,Pesquisador,Ciências Biológicas,Bioprocessos,1
40002688,Analista,Ciências Agrárias,Ciência do Solo,6
40003250,Analista,Gestão Estratégica,Articulação Político-Institucional Nacional,1
40003340,Analista,"Suprimento, Manutenção e Serviços",Infraestrutura Engenharia Elétrica,1
40003476,Analista,Ciências Biológicas,Biologia Molecular e Genética Animal,2
40003706,Pesquisador,Ciências Agrárias,Melhoramento Genético Vegetal,16
40003735,Analista,Ciências Agrárias,Sistemas de Produção Animal,4
40003965,Pesquisador,Gestão da Informação,Engenharia de Dados,1
40003995,Assistente,Laboratório e Campos Experienciais,Laboratório,3
40004353,Analista,Ciências Agrárias,Clínica Veterinária,3
40004381,Técnico,Mecânica,Mecânica de Precisão,1
40004441,Analista,"Suprimento, Manutenção e Serviços",Infraestrutura Arquitetura,1
40004461,Analista,"Suprimento, Manutenção e Serviços",Infraestrutura Engenharia Civil,6
40004569,Analista,Transferência de Tecnologia e Comunicação,Gestão de Instrumentos de Parcerias e Negócios,10
40004576,Pesquisador,Fotônica,Instrumentação em Fotônica,1
40005782,Pesquisador,Ciências Exatas e da Terra,Rastreabilidade e Certificação Digital,1
40006388,Analista,"Suprimento, Manutenção e Serviços",Ativos Patrimoniais e Imobiliários,2
40006431,Pesquisador,Transferência de Tecnologia e Comunicação,Inovação Social,2
40007169,Analista,Direito e Auditoria,Auditoria Contábil,1
40008640,Analista,"Suprimento, Manutenção e Serviços",Infraestrutura,1
40009493,Analista,Ciência e Tecnologia de Alimentos,Tecnologia e Inovação Alimentar para Gastronomia,2
